video_id,source_dataset,label,old_split,semantic_group_id,group_method,status,exclusion_reason,new_split,m1_cache_available,m3_cache_available
hockey_hockey_000267_2e13bcafb08a,hockey,0,train,pcg_08249448576f4f66,perceptual-candidate connected component; reviewed distinct edges dismissed,excluded,candidate_component_label_conflict,excluded,True,True
movies2_movies2_000679_caf6174562d8,movies2,1,train,pcg_5f31202f4617d99f,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
hockey_hockey_000121_f52008fafbea,hockey,0,train,pcg_f79ab671bdcdd349,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
movies2_movies2_001104_43a64ec567d3,movies2,0,train,pcg_410e8f085f5f945c,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
movies2_movies2_000556_bd911125e396,movies2,1,train,pcg_2069f6d5651c8434,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
movies2_movies2_000573_0410e9be7386,movies2,0,train,pcg_eb98eab833b7d197,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
movies2_movies2_000694_9b897fe65504,movies2,0,train,pcg_5982b2c726a4dad5,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
surv_fight_surv_fight_001960_7c548b11b26b,surv_fight,1,train,pcg_ff0c86298794a2e6,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
movies2_movies2_000780_f280a2f785a2,movies2,1,train,pcg_e706c18ce45ca54f,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,val,True,True
violent_flows_violent_flows_001602_8518d9aebb9d,violent_flows,0,train,pcg_1bd92ae5ca2c7fef,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,test,True,True
hockey_hockey_000133_b1f42bc9c496,hockey,0,train,pcg_c6f320514235c051,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,val,True,True
rwf2000_rwf2000_001689_dcc4a9d59d73,rwf2000,1,train,pcg_bf5d5d0ca0343107,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,test,True,True
movies2_movies2_001047_608f433f3f35,movies2,0,train,pcg_391ca440c76c6296,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
movies2_movies2_001152_1b1c75859db2,movies2,1,train,pcg_a3716fe5f7e6dcce,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
movies2_movies2_000947_2dc01e450e6d,movies2,0,train,pcg_9062195015aad147,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
movies2_movies2_001274_d073ec5843e7,movies2,0,train,pcg_8233417ad1329efc,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,val,True,True
rwf2000_rwf2000_001832_4d22e559aff0,rwf2000,1,train,pcg_7e343229a2a2bc2f,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,val,True,True
movies2_movies2_001064_63c4c4e93c06,movies2,0,train,pcg_fa6da72b4c66067a,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
movies2_movies2_001151_a7035e8c28d6,movies2,1,train,pcg_0901abe8f2ec7334,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
movies2_movies2_001040_6346151eff15,movies2,1,train,pcg_367c9f9b757f104a,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
movies2_movies2_000939_6d998ddfdf37,movies2,0,train,pcg_d1fe2e83a0bdd04d,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,val,True,True
surv_fight_surv_fight_001898_470021b6b880,surv_fight,1,train,pcg_01ba7937a822dbbc,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
hockey_hockey_000366_6219257a4946,hockey,0,train,pcg_a35a9a7ba96a0688,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
rwf2000_rwf2000_001704_53043ffbbfef,rwf2000,0,train,pcg_57513a9588d18461,perceptual-candidate connected component; reviewed distinct edges dismissed,excluded,candidate_component_label_conflict,excluded,True,True
hockey_hockey_000236_24cf78a479c4,hockey,0,train,pcg_0b13cc31359ad4fb,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,val,True,True
movies2_movies2_001033_7ad5537ee855,movies2,1,train,pcg_0d0568d057bf8dc0,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
movies2_movies2_000958_4a568ab7204d,movies2,1,train,pcg_fb7f5ac27d08265a,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
hockey_hockey_000225_0dd1bc6397c1,hockey,1,train,pcg_a329f3e3a08d60ef,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
movies2_movies2_000850_509208135f2c,movies2,0,train,pcg_40c907fad149344d,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,test,True,True
hockey_hockey_000398_af17b02fdc8c,hockey,1,train,pcg_3cbcf03c9ae8d57d,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
movies2_movies2_001352_bbb07d22a5c5,movies2,0,train,pcg_d9e1ddeceaa4b052,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
hockey_hockey_000267_5d121c2e3e8e,hockey,1,train,pcg_db631022fa5eca13,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
movies2_movies2_000948_79b5f8526b2e,movies2,0,train,pcg_7c4b1fec36fd55f7,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,test,True,True
hockey_hockey_000297_5e4c2dde6a8b,hockey,1,train,pcg_c330724a2350d237,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,test,True,True
surv_fight_surv_fight_001953_3dafb423b205,surv_fight,1,train,pcg_156e8b3fba0bc5f9,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,val,True,True
movies2_movies2_001458_e4165748b490,movies2,1,train,pcg_d4ae2e3d03526ade,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
hockey_hockey_000469_d3306d7cb2ce,hockey,0,train,pcg_7b09d1e570a82bb6,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,test,True,True
movies2_movies2_000519_8e48558f56ce,movies2,0,train,pcg_1532247b56ff568a,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
movies2_movies2_000692_937b60a34ff2,movies2,1,train,pcg_59d37d7149131179,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
hockey_hockey_000165_4c16b7d70878,hockey,0,train,pcg_f8fec6a274adbae0,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
hockey_hockey_000018_78e427da3604,hockey,1,train,pcg_8568e8497fc70ae7,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
movies2_movies2_001300_c820664087d9,movies2,0,train,pcg_39db80d7c0d01044,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,test,True,True
rwf2000_rwf2000_001684_aa44b548dfaf,rwf2000,1,train,pcg_ef9d3d150e1aac58,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,test,True,True
violent_flows_violent_flows_001558_ed76272001ca,violent_flows,1,train,pcg_c6c78c63ea0c437d,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,val,True,True
hockey_hockey_000377_7846c5f3703a,hockey,1,train,pcg_4f306f0bbf902088,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
movies2_movies2_000707_dd9799a4a94e,movies2,1,train,pcg_b4bf46e592be1f9f,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
movies2_movies2_000933_889aba6b3366,movies2,1,train,pcg_64bf0f7129cac28d,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
violent_flows_violent_flows_001553_d0d52fa75df9,violent_flows,1,train,pcg_8c24a2d2550826ae,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,val,True,True
movies2_movies2_000907_bc6ad782000a,movies2,1,train,pcg_7d9a40fb85199f53,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
movies2_movies2_000852_2e08a9eba105,movies2,1,train,pcg_5fbc46f9057307cb,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
movies2_movies2_000612_3a4c7a47417e,movies2,0,train,pcg_a64b51990d7d4c43,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,test,True,True
hockey_hockey_000349_e0aca31d000f,hockey,1,train,pcg_234c05f7690e0e4c,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
hockey_hockey_000387_b398acb8e2af,hockey,1,train,pcg_15a5ae80dca3204f,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
violent_flows_violent_flows_001575_678348823d26,violent_flows,1,train,pcg_7c8cefb909de2aa0,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
hockey_hockey_000087_10d226f1b496,hockey,0,train,pcg_c16ff2839e369109,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
violent_flows_violent_flows_001551_06d827156fa1,violent_flows,0,train,pcg_9986dc52b4553595,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
movies2_movies2_001023_c6563272894c,movies2,0,train,pcg_94b25a5500df8617,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,test,True,True
movies2_movies2_000753_9dad40066ef1,movies2,1,train,pcg_738da457d30f9463,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
movies2_movies2_000534_27b742daba14,movies2,0,train,pcg_b6d9e4bc004d4f26,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
hockey_hockey_000213_48d2d955ffc5,hockey,1,train,pcg_f5ec0603052a8356,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,test,True,True
movies2_movies2_000567_94fe12ff2044,movies2,0,train,pcg_5420b681f273e16e,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,test,True,True
movies2_movies2_000849_70762276e5d4,movies2,0,train,pcg_c4bfe80cf209c180,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
movies2_movies2_001359_0d9e312c54b6,movies2,0,train,pcg_1b668713064aa79e,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
movies2_movies2_000510_bce2c57b6680,movies2,1,train,pcg_cc3e3a9cfd1504a6,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,test,True,True
movies2_movies2_000949_99e63bcac715,movies2,1,train,pcg_64e41bf3476b303b,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
surv_fight_surv_fight_001800_4ebe30719ad6,surv_fight,0,train,pcg_2b083f699c269cbf,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,val,True,True
surv_fight_surv_fight_001927_2bf244558d68,surv_fight,1,train,pcg_3d750449e4d981a4,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
hockey_hockey_000096_0b4c76386d48,hockey,1,train,pcg_450bf603f048ec82,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
movies2_movies2_000597_873596d625ec,movies2,1,train,pcg_dd328f432df2935d,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,val,True,True
surv_fight_surv_fight_001999_063e52e65d08,surv_fight,1,train,pcg_9de58bec22065fa6,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
movies2_movies2_000665_0a7e7dc17b48,movies2,0,train,pcg_6a6886ef7439f23f,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
surv_fight_surv_fight_001892_904b0b9f719d,surv_fight,1,train,pcg_ce7c7e4d125b649d,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
movies2_movies2_001359_4c85ad6bbb21,movies2,1,train,pcg_c052ce28609f6d7b,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
movies2_movies2_000789_03482753d619,movies2,0,train,pcg_4febfc82e0b46827,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
movies2_movies2_001179_11ea14ad81c7,movies2,0,train,pcg_0c028046a813687b,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
hockey_hockey_000004_3c498def53ab,hockey,0,train,pcg_3c8262808d025d62,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
movies2_movies2_000730_d0a28822c847,movies2,1,train,pcg_f535935612ef6cd6,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
hockey_hockey_000125_09056107f514,hockey,0,train,pcg_8f8be5ecebd8d0b7,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
movies2_movies2_000737_6ecdfaa24719,movies2,1,train,pcg_a28587e18d8f3ab2,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,val,True,True
hockey_hockey_000192_24698f064999,hockey,1,train,pcg_b1768218e9420163,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
rwf2000_rwf2000_001788_5ad69b4f08dc,rwf2000,1,train,pcg_2fa0779ed0a603c3,perceptual-candidate connected component; reviewed distinct edges dismissed,excluded,candidate_component_label_conflict,excluded,True,True
hockey_hockey_000483_d270495a5f2a,hockey,0,train,pcg_783cd07a3a3f2b65,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,val,True,True
movies2_movies2_000991_b45abec300a5,movies2,0,train,pcg_bdfcc02c34b29b96,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,val,True,True
movies2_movies2_001091_78ef6ed17b05,movies2,0,train,pcg_0ecfdc57ace9c61e,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,test,True,True
hockey_hockey_000192_32d99875cb28,hockey,0,train,pcg_7de251ebf347c780,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
hockey_hockey_000062_684152f981dd,hockey,0,train,pcg_b6cf04385aef1d3c,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,test,True,True
movies2_movies2_000647_a7827adb0608,movies2,1,train,pcg_cddeb09c39a8639f,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,val,True,True
movies2_movies2_000844_fd3c94d66eb0,movies2,0,train,pcg_75a06b519e792301,perceptual-candidate connected component; reviewed distinct edges dismissed,excluded,m3_cache_unavailable,excluded,True,False
rwf2000_rwf2000_001754_591150d668c9,rwf2000,1,train,pcg_207f9095dba7a7f3,perceptual-candidate connected component; reviewed distinct edges dismissed,excluded,candidate_component_label_conflict,excluded,True,True
hockey_hockey_000371_3a7e46784b99,hockey,0,train,pcg_3c8262808d025d62,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
hockey_hockey_000219_36d2a2c04e67,hockey,1,train,pcg_856dcbd40c4ae2e4,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
movies2_movies2_001284_fde7c50a42ab,movies2,0,train,pcg_6c5fc771a4a60515,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
rwf2000_rwf2000_001692_074f8091099e,rwf2000,0,train,pcg_797d26f23ff9e034,perceptual-candidate connected component; reviewed distinct edges dismissed,excluded,candidate_component_label_conflict,excluded,True,True
hockey_hockey_000080_864df5e02e12,hockey,1,train,pcg_655cc77688275601,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
movies2_movies2_001201_5230df484db2,movies2,1,train,pcg_450ead7c5f8e4db6,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
rwf2000_rwf2000_001837_ebb2458f64c7,rwf2000,1,train,pcg_97c1eadbe20bb2f3,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
hockey_hockey_000126_0154ce0653e5,hockey,0,train,pcg_2d7a5fb5f37b1513,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,test,True,True
movies2_movies2_000812_c3054ec192e9,movies2,1,train,pcg_1959d5563300e9ab,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
hockey_hockey_000025_e16a712c58b1,hockey,1,train,pcg_410b65d32d910901,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
movies2_movies2_001404_616738c8058d,movies2,1,train,pcg_54ce74c97554ef0e,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
hockey_hockey_000274_f66de055a94e,hockey,1,train,pcg_a9bd68a7547c344f,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,test,True,True
hockey_hockey_000072_b25c810ccda1,hockey,1,train,pcg_c530d9c9b0ddf8c0,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
movies2_movies2_001164_68b64c661591,movies2,1,train,pcg_dddf0c061aa70675,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
movies2_movies2_001314_3716d82e7c71,movies2,0,train,pcg_1b2057eabdaf728e,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
hockey_hockey_000230_7baf43b81eb6,hockey,1,train,pcg_d170c5140d5c9319,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,val,True,True
movies2_movies2_000945_fc9869356a3b,movies2,0,train,pcg_2e73fdbca6a0e282,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
movies2_movies2_000758_6b60f970b3f9,movies2,1,train,pcg_b3c71e8ea690a8e7,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,val,True,True
movies2_movies2_000635_229dcbc86822,movies2,1,train,pcg_135d602d6529a2d5,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
rwf2000_rwf2000_001734_737a199b89e2,rwf2000,1,train,pcg_207f9095dba7a7f3,perceptual-candidate connected component; reviewed distinct edges dismissed,excluded,candidate_component_label_conflict,excluded,True,True
movies2_movies2_000833_d8b105187dde,movies2,0,train,pcg_8e828eab0a300786,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,val,True,True
movies2_movies2_000759_d85d691f90f2,movies2,1,train,pcg_97eef0aaf77a52f8,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
movies2_movies2_001106_1c63bb5894cf,movies2,1,train,pcg_cf1e0e6bc347b324,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,test,True,True
violent_flows_violent_flows_001527_7466b1614731,violent_flows,0,train,pcg_8d295b9babf5b444,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,val,True,True
movies2_movies2_001096_590c22a0b589,movies2,1,train,pcg_7b76c6c1235033af,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
surv_fight_surv_fight_001996_537e99b812ee,surv_fight,1,train,pcg_7521013437c58b46,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,test,True,True
movies2_movies2_000676_260095215143,movies2,0,train,pcg_32fc87e2b025757b,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
hockey_hockey_000412_a68f6170474f,hockey,1,train,pcg_1f287806c612c3a7,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,test,True,True
surv_fight_surv_fight_001875_57b126616a07,surv_fight,1,train,pcg_5ea5730f02fed8c1,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
movies2_movies2_001493_35a5c71067c2,movies2,0,train,pcg_6de8a98e7c7f970e,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
hockey_hockey_000195_e450e9829650,hockey,0,train,pcg_85ad904c0212fb2a,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
rwf2000_rwf2000_001772_0fc37ed87c7b,rwf2000,1,train,pcg_3709522862160dde,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,val,True,True
movies2_movies2_001281_888e5a634d5b,movies2,0,train,pcg_c3b54caa7dee3721,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
movies2_movies2_000674_132306d79b86,movies2,0,train,pcg_420ecd29a0b24cff,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
movies2_movies2_001092_b134e6dabb84,movies2,1,train,pcg_8c8ef2de14d32baf,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
movies2_movies2_001371_e855ca3e25c9,movies2,0,train,pcg_aef01b80b6b7a334,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
surv_fight_surv_fight_001931_6f74b0d27651,surv_fight,1,train,pcg_18f97069c397038d,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,val,True,True
rwf2000_rwf2000_001631_1e6728b94855,rwf2000,1,train,pcg_31c7a5d157527afc,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
rwf2000_rwf2000_001634_32933e6c8ac9,rwf2000,0,train,pcg_207f9095dba7a7f3,perceptual-candidate connected component; reviewed distinct edges dismissed,excluded,candidate_component_label_conflict,excluded,True,True
hockey_hockey_000373_0fbfc3081e75,hockey,0,train,pcg_aff5f259da683bc9,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,test,True,True
movies2_movies2_000543_3f95701068c7,movies2,0,train,pcg_6bf8a9417d194f6d,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,test,True,True
movies2_movies2_000520_ad02901446fa,movies2,1,train,pcg_4f5e9c08f9088059,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
movies2_movies2_001110_cc58a42a72ba,movies2,1,train,pcg_215b83a76570d932,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
violent_flows_violent_flows_001557_a1a5ffa8a73c,violent_flows,1,train,pcg_e1a8fb30b6d522f5,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
rwf2000_rwf2000_001780_4819541c5481,rwf2000,1,train,pcg_75d0d39688ad6c8d,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
movies2_movies2_001284_f800328d4650,movies2,1,train,pcg_d19e97ec087fe656,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
movies2_movies2_001201_a199c6bbe768,movies2,0,train,pcg_d3213433aa7a1753,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
surv_fight_surv_fight_001825_c103b69a30f2,surv_fight,0,train,pcg_4a81c47e50ff2268,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,val,True,True
hockey_hockey_000180_e1775c3da81a,hockey,1,train,pcg_cd13c9780ad09d65,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
hockey_hockey_000093_2a0b345d6637,hockey,0,train,pcg_6a750532151de255,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
hockey_hockey_000064_5f7f05cc1a2a,hockey,1,train,pcg_a140bfbb454605ae,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,val,True,True
movies2_movies2_000583_4e5c6bf2d09e,movies2,1,train,pcg_900a30e212137100,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,test,True,True
hockey_hockey_000255_4c83dcd490d7,hockey,1,train,pcg_9440cbcf5e783405,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
hockey_hockey_000186_c9204bcaa89c,hockey,0,train,pcg_b955bdcc98d377cd,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,val,True,True
violent_flows_violent_flows_001615_db0150fb9a25,violent_flows,0,train,pcg_748273a584ca4b38,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,val,True,True
hockey_hockey_000434_c68c350bb392,hockey,1,train,pcg_072c1c4f0cc6542f,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
movies2_movies2_000632_688c9c2291fc,movies2,1,train,pcg_2032afcd3a5f7109,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
hockey_hockey_000464_bafaf4f71025,hockey,1,train,pcg_80216f890613937e,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
movies2_movies2_001356_807c484fff79,movies2,0,train,pcg_803285dac8371c4d,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,test,True,True
hockey_hockey_000075_dcbd2c2c9987,hockey,1,train,pcg_c2862b0673634f25,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
hockey_hockey_000168_c8f4e1d49ce5,hockey,1,train,pcg_89f705c0574a25c7,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
movies2_movies2_000611_27dfc915fc31,movies2,0,train,pcg_4b473afce8f11ab5,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
movies2_movies2_001094_2b8738a5019d,movies2,0,train,pcg_4f531dd8b19a847d,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
movies2_movies2_000528_59e19d1c0859,movies2,1,train,pcg_d43cd3d20983d017,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
